id	duration	bitrate	bitrate(video)	height	width	frame rate	frame rate(est.)	codec	category	url
uDNj-_5ty48	267	373	274	568	320	29.97	0	h264	Music	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?algorithm=throttle-factor&burst=40&ipbits=8&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mv=m&source=youtube&ip=86.50.94.176&ms=au&fexp=931311%2C916903%2C916713%2C916612%2C919515%2C913818%2C923434%2C916914%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&sver=3&itag=34&id=b83363fbfe6dcb8f&cp=U0hWTFlMUF9ITENONl9RRlRDOkd1MHNTdkJ0bmJX&upn=NcwR8nokhFc&expire=1377912232&key=yt1&factor=1.25&signature=7FFB8DF0BFB451937740F4C5F8C3EFF502C46CFE.A6F49E3816C0D9385EAC7D9A313A79C0E1B489A6&ratebypass=yes
uDNj-_5ty48	267	512	396	480	270	29.97	29.97	h264	Music	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?ipbits=8&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&mv=m&ip=86.50.94.176&source=youtube&ms=au&fexp=931311%2C916903%2C916713%2C916612%2C919515%2C913818%2C923434%2C916914%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&ratebypass=yes&mt=1377888632&sver=3&itag=18&id=b83363fbfe6dcb8f&expire=1377912232&upn=NcwR8nokhFc&key=yt1&cp=U0hWTFlMUF9ITENONl9RRlRDOkd1MHNTdkJ0bmJX&signature=187482B3F497A03D2FA9E03FF0D540C9801DF2E5.88F8505D8378874858DE9712197A6E7876F2E708
uDNj-_5ty48	267	324	263	400	226	29.97	29.97	flv1	Music	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?algorithm=throttle-factor&burst=40&ipbits=8&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mv=m&source=youtube&ip=86.50.94.176&ms=au&fexp=931311%2C916903%2C916713%2C916612%2C919515%2C913818%2C923434%2C916914%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&sver=3&itag=5&id=b83363fbfe6dcb8f&cp=U0hWTFlMUF9ITENONl9RRlRDOkd1MHNTdkJ0bmJX&upn=NcwR8nokhFc&expire=1377912232&key=yt1&factor=1.25&signature=1C228BC2BE95DA7489A4C417310CD0BB66A7D524.4CCC6F5FFB5267FC91AEB60B0ED5086C2F87B7F3&ratebypass=yes
uDNj-_5ty48	267	85	55	176	144	12	12	mpeg4	Music	http://r2---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?algorithm=throttle-factor&burst=40&ipbits=8&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&mv=m&source=youtube&ip=86.50.94.176&ms=au&fexp=931311%2C916903%2C916713%2C916612%2C919515%2C913818%2C923434%2C916914%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C906945%2C929933%2C920302%2C906842%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C904122%2C932211%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&sver=3&itag=17&id=b83363fbfe6dcb8f&cp=U0hWTFlMUF9ITENONl9RRlRDOkd1MHNTdkJ0bmJX&upn=NcwR8nokhFc&expire=1377912232&key=yt1&factor=1.25&signature=0F50F4715FFF0412AE945EAA27079543A38E9544.CEDCF478798D04934FFB7C303DD9BAF4AF88DC7F&ratebypass=yes
WCgt-AactyY	31	1261	1183	640	480	24	0	h264	People & Blogs	http://r1---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?itag=35&key=yt1&source=youtube&mv=m&id=58282df8069cb726&ip=86.50.94.176&burst=40&algorithm=throttle-factor&upn=Gv-ALFhUfcU&cp=U0hWTFlLV19JUENONl9RRUFCOjJiMExXU21EUGR1&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&sver=3&ms=au&expire=1377909146&fexp=926404%2C901061%2C916623%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&factor=1.25&ipbits=8&signature=B0DE3B3D9929DCFAB8BCC8203C130B55635B0096.0F04182799945F6E67EB089A07ACDE5C9D0A684B&ratebypass=yes
WCgt-AactyY	31	1166	1183	640	480	24	0	vp8	People & Blogs	http://r1---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?itag=44&sver=3&source=youtube&ratebypass=yes&mv=m&id=58282df8069cb726&ip=86.50.94.176&key=yt1&upn=Gv-ALFhUfcU&cp=U0hWTFlLV19JUENONl9RRUFCOjJiMExXU21EUGR1&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&ms=au&expire=1377909146&fexp=926404%2C901061%2C916623%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&ipbits=8&signature=C025D99C20C99274A3EA0416B1311110DF197C36.27104BB19AF711CFF5CE6D1F0FD0427BE5F14192
WCgt-AactyY	31	736	646	480	360	24	0	h264	People & Blogs	http://r1---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?itag=34&key=yt1&source=youtube&mv=m&id=58282df8069cb726&ip=86.50.94.176&burst=40&algorithm=throttle-factor&upn=Gv-ALFhUfcU&cp=U0hWTFlLV19JUENONl9RRUFCOjJiMExXU21EUGR1&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&sver=3&ms=au&expire=1377909146&fexp=926404%2C901061%2C916623%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&factor=1.25&ipbits=8&signature=D315AF86F0E49D4CC92E86FDA43BB5684BD44D8E.5FF2BF6E079B02EDDA5C6A72AE8A8EFDBC6DD6B0&ratebypass=yes
WCgt-AactyY	31	715	641	480	360	24	24	h264	People & Blogs	http://r1---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?itag=18&sver=3&source=youtube&ratebypass=yes&mv=m&id=58282df8069cb726&ip=86.50.94.176&key=yt1&upn=Gv-ALFhUfcU&cp=U0hWTFlLV19JUENONl9RRUFCOjJiMExXU21EUGR1&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&ms=au&expire=1377909146&fexp=926404%2C901061%2C916623%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&ipbits=8&signature=C31608DEAA3C77B573FE079D2F7C17CA166B759E.8AF37D9FB1183C3A01ED878CB4B8A3492D6B8860
WCgt-AactyY	31	762	641	480	360	24	24	vp8	People & Blogs	http://r1---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?itag=43&sver=3&source=youtube&ratebypass=yes&mv=m&id=58282df8069cb726&ip=86.50.94.176&key=yt1&upn=Gv-ALFhUfcU&cp=U0hWTFlLV19JUENONl9RRUFCOjJiMExXU21EUGR1&sparams=cp%2Cid%2Cip%2Cipbits%2Citag%2Cratebypass%2Csource%2Cupn%2Cexpire&ms=au&expire=1377909146&fexp=926404%2C901061%2C916623%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&ipbits=8&signature=268B6ABC2950B505D16CBC51DDA3144AC88370E5.89AB16707FAC6470E855BDE389E7774B67EE03A4
WCgt-AactyY	31	370	305	320	240	24	24	flv1	People & Blogs	http://r1---sn-ovgq0oxu-5goe.c.youtube.com/videoplayback?itag=5&key=yt1&source=youtube&mv=m&id=58282df8069cb726&ip=86.50.94.176&burst=40&algorithm=throttle-factor&upn=Gv-ALFhUfcU&cp=U0hWTFlLV19JUENONl9RRUFCOjJiMExXU21EUGR1&sparams=algorithm%2Cburst%2Ccp%2Cfactor%2Cid%2Cip%2Cipbits%2Citag%2Csource%2Cupn%2Cexpire&sver=3&ms=au&expire=1377909146&fexp=926404%2C901061%2C916623%2C929117%2C929121%2C929906%2C929907%2C929922%2C929127%2C929129%2C929131%2C929930%2C936403%2C925726%2C925720%2C925722%2C925718%2C929917%2C929933%2C920302%2C927704%2C913428%2C920605%2C919811%2C913563%2C904830%2C919373%2C930803%2C908536%2C904122%2C938701%2C936308%2C909549%2C900816%2C912711%2C904494%2C904497%2C900375%2C906001&mt=1377888632&factor=1.25&ipbits=8&signature=1EDC3122D48D521D97017FF403BAB05678B95CE5.5E94D5D3E457E8133A84C6DBC6E3CF1A5104D9E5&ratebypass=yes
